model,features,fold,train_end_year,n_train,n_valid,train_target_mean,valid_target_mean,pred_mean,brier,logloss,roc_auc,seconds,iterations
constant,raw_47,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5431423520563059,0.24936587062859672,0.6918804070069514,0.5,0.0,0.0
catboost,raw_47,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.53185485403587,0.24373394469272727,0.6802905298598292,0.5742913015446772,699.0098893642426,300.0
constant,raw_47,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5395365039034486,0.2515665167378201,0.6962900426820432,0.5,0.0,0.0
catboost,raw_47,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.521351189534576,0.25356455548888895,0.7009521451699939,0.5236818282851049,601.5024962425232,300.0
constant,raw_47,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.5315815109059128,0.25187504706086583,0.6969036043721832,0.5,0.0,0.0
catboost,raw_47,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.49983945292721055,0.24871761722507657,0.6905748500954355,0.5397892938556277,752.7245221138,300.0
constant,raw_47_plus_domain_43,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5431423520563059,0.24936587062859672,0.6918804070069514,0.5,0.0,0.0
catboost,raw_47_plus_domain_43,2022,2021.0,728588.0,247472.0,0.5431423520563061,0.5289204435249241,0.5322423116293095,0.24365820289452095,0.6801329364719418,0.5748185436810831,466.20615577697754,300.0
constant,raw_47_plus_domain_43,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5395365039034486,0.2515665167378201,0.6962900426820432,0.5,0.0,0.0
catboost,raw_47_plus_domain_43,2023,2022.0,976060.0,245525.0,0.5395365039034485,0.49995723449750534,0.5198345845607424,0.2535297812178398,0.7008810403989985,0.5242859583524642,593.7269053459167,300.0
constant,raw_47_plus_domain_43,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.5315815109059128,0.25187504706086583,0.6969036043721832,0.5,0.0,0.0
catboost,raw_47_plus_domain_43,2024,2023.0,1221585.0,253507.0,0.5315815109059132,0.4861049201797189,0.4982591590856131,0.24834826017200834,0.689831625258906,0.5447090927262442,725.8481373786926,300.0
catboost,raw_47,mean_2022_2024,,,,,,,0.24867203913556427,0.6906058417084195,0.5459208078951366,2053.236907720566,
catboost,raw_47_plus_domain_43,mean_2022_2024,,,,,,,0.24851208142812306,0.6902818673766155,0.5479378649199305,1785.781198501587,
constant,raw_47,mean_2022_2024,,,,,,,0.2509358114757609,0.6950246846870592,0.5,0.0,
constant,raw_47_plus_domain_43,mean_2022_2024,,,,,,,0.2509358114757609,0.6950246846870592,0.5,0.0,
