model,features,fold,n_features,mapped_pitchers,valid_coverage,brier,logloss,roc_auc,seconds
hgb,tm_role,2022,98.0,464.0,0.8109927587767505,0.24353068948734072,0.6798764314011679,0.576139599749101,39.23129057884216
hgb,tm_pitch_means,2022,122.0,464.0,0.8109927587767505,0.2434152352610837,0.6796391417685453,0.5772780333970384,46.89294195175171
hgb,tm_pitch_stds,2022,122.0,464.0,0.8109927587767505,0.24346754850161303,0.6797400153545949,0.5765460972616725,47.42511963844299
hgb,tm_expert_core,2022,123.0,464.0,0.8109927587767505,0.24349743101029095,0.6798079657097609,0.5764275534815747,47.3693687915802
hgb,tm_role,2023,98.0,524.0,0.8411852153548518,0.2535111928636611,0.7009185293502335,0.5269868546321579,52.15301036834717
hgb,tm_pitch_means,2023,122.0,524.0,0.8411852153548518,0.25360592374918883,0.7011144224883177,0.5264229058609968,39.97465419769287
hgb,tm_pitch_stds,2023,122.0,524.0,0.8411852153548518,0.2535751836041128,0.7010455816112193,0.5263748934728103,63.42811846733093
hgb,tm_expert_core,2023,123.0,524.0,0.8411852153548518,0.25366056456255615,0.7012482738462503,0.5266055428352509,59.951085329055786
hgb,tm_role,2024,98.0,587.0,0.7742863116205864,0.24812705182459463,0.6893880576674682,0.547551446582895,66.20001196861267
hgb,tm_pitch_means,2024,122.0,587.0,0.7742863116205864,0.24808884284231314,0.6893125261147749,0.5480638087733649,76.1410083770752
hgb,tm_pitch_stds,2024,122.0,587.0,0.7742863116205864,0.24812633159576808,0.6893867655412054,0.5470749784998877,75.01437211036682
hgb,tm_expert_core,2024,123.0,587.0,0.7742863116205864,0.24808766627849477,0.6893090087621161,0.547602379831508,77.60180044174194
hgb,tm_expert_core,mean_2022_2024,,,,0.24841522061711396,0.6901217494393758,0.5502118253827778,184.92225456237793
hgb,tm_pitch_means,mean_2022_2024,,,,0.24837000061752854,0.6900220301238793,0.5505882493438,163.00860452651978
hgb,tm_pitch_stds,mean_2022_2024,,,,0.24838968790049795,0.6900574541690064,0.5499986564114568,185.86761021614075
hgb,tm_role,mean_2022_2024,,,,0.24838964472519878,0.6900610061396232,0.5502259669880513,157.584312915802
