fold,sd,seed,brier_rel
2024,False,42,0.24801942785586717
2024,False,7,0.24809854742136978
2024,False,2024,0.2480976104485849
2024,False,avg3,0.2480237459463581
2024,True,42,0.24801942785586717
2024,True,7,0.24809854742136978
2024,True,2024,0.2480976104485849
2024,True,avg3,0.2480237459463581
2022,False,42,0.24872817507917938
2022,False,7,0.24871956634404585
2022,False,2024,0.24867186581014672
2022,False,avg3,0.24865013569682054
2022,True,42,0.24872817507917938
2022,True,7,0.24871956634404585
2022,True,2024,0.24867186581014672
2022,True,avg3,0.24865013569682054
