model,features,fold,n_features,brier,logloss,roc_auc,pred_mean,target_mean,seconds
hgb,domain_scatter,2022,101.0,0.24350547470871745,0.6798260396740846,0.576759840287842,0.5305735619912112,0.5289204435249241,23.023515462875366
hgb,domain_temporal_te,2022,106.0,0.24351784370622281,0.6798454693790098,0.5770046296706636,0.5295641709420253,0.5289204435249241,19.989920616149902
hgb,domain_te_scatter,2022,117.0,0.24351776888665072,0.6798447235112336,0.57694433762088,0.5292553797071861,0.5289204435249241,22.67946434020996
hgb,domain_scatter,2023,101.0,0.2534822706020331,0.700853014858826,0.526683193165686,0.5213014740067188,0.49995723449750534,24.917686462402344
hgb,domain_temporal_te,2023,106.0,0.2534257386367831,0.7007063300789848,0.5265815203180192,0.5189980013780963,0.49995723449750534,28.72507905960083
hgb,domain_te_scatter,2023,117.0,0.2534662386076801,0.7008114873152951,0.5269212297103761,0.5200070894131734,0.49995723449750534,31.264796257019043
hgb,domain_scatter,2024,101.0,0.24812396252014485,0.689381903535339,0.5478086006729831,0.49818516384120615,0.4861049201797189,33.0086464881897
hgb,domain_temporal_te,2024,106.0,0.24813549395773438,0.6894037835024538,0.5469797698276274,0.4969148846396419,0.4861049201797189,33.60910773277283
hgb,domain_te_scatter,2024,117.0,0.24804763928296206,0.6892291019916059,0.5484356604597336,0.49626383894165277,0.4861049201797189,39.616739988327026
hgb,domain_scatter,mean_2022_2024,,0.2483705692769651,0.6900203193560831,0.5504172113755037,,,80.94984841346741
hgb,domain_te_scatter,mean_2022_2024,,0.24834388225909762,0.6899617709393783,0.5507670759303299,,,93.56100058555603
hgb,domain_temporal_te,mean_2022_2024,,0.24835969210024675,0.6899851943201494,0.55018863993877,,,82.32410740852356
