wt,k,mode,brier,n_ref
equal,100,uni,0.24985762392117045,200000
equal,100,inv,0.42852152671997273,200000
equal,500,uni,0.24899957190881264,200000
equal,500,inv,0.3637536844867981,200000
equal,2000,uni,0.24879805373583563,200000
equal,2000,inv,0.2945507047330053,200000
equal,8000,uni,0.2486985336998224,200000
equal,8000,inv,0.2581639885483232,200000
imp,100,uni,0.24964559425936167,200000
imp,100,inv,0.4232384641543613,200000
imp,500,uni,0.24897614890385966,200000
imp,500,inv,0.3587764462968702,200000
imp,2000,uni,0.24859571624402138,200000
imp,2000,inv,0.2929112721696014,200000
imp,8000,uni,0.24855058745281727,200000
imp,8000,inv,0.2579716330052654,200000
equal,100,uni,0.24932331603059038,600000
equal,100,inv,0.4230974766018475,600000
equal,500,uni,0.2487637720079882,600000
equal,500,inv,0.35400278156214765,600000
equal,2000,uni,0.24858911868811592,600000
equal,2000,inv,0.2878903131453909,600000
equal,8000,uni,0.24863535703732328,600000
equal,8000,inv,0.2563353295280106,600000
imp,100,uni,0.2495619919359818,600000
imp,100,inv,0.423105976338033,600000
imp,500,uni,0.24879671542690793,600000
imp,500,inv,0.3527020317468972,600000
imp,2000,uni,0.24853946887875267,600000
imp,2000,inv,0.2877379031608888,600000
imp,8000,uni,0.24852157475246395,600000
imp,8000,inv,0.2567650178950627,600000
