h1,h2,h3,dropout,lr,wd,emb_dim,batch,epochs,cos,tag,brier,sec
256,128,,0.15,0.002,1e-05,16,8192,4,False,base,0.24793151021003723,192
512,192,64.0,0.35,0.002,0.001,32,4096,3,False,t00,0.24795570969581604,253
256,256,128.0,0.05,0.001,0.001,8,16384,3,False,t01,0.24788035452365875,91
512,128,,0.1,0.002,1e-05,32,8192,4,True,t02,0.24825942516326904,134
384,192,64.0,0.35,0.003,0.001,24,8192,4,True,t03,0.24774996936321259,152
256,64,128.0,0.05,0.003,0.0001,8,4096,4,False,t04,0.24800445139408112,73
128,192,128.0,0.15,0.003,0.001,32,8192,4,True,t05,0.2483409345149994,68
256,128,,0.1,0.003,0.0,8,4096,6,True,t06,0.24854621291160583,163
512,64,64.0,0.1,0.001,0.0,24,16384,5,False,t07,0.24809569120407104,87
384,128,128.0,0.35,0.0005,0.0001,32,16384,5,True,t08,0.24785999953746796,125
128,192,,0.05,0.0005,0.0001,24,8192,5,True,t09,0.24791522324085236,62
384,128,64.0,0.15,0.0005,0.0,24,8192,5,False,t10,0.24785484373569489,104
128,64,,0.35,0.001,1e-05,24,16384,4,True,t11,0.247918963432312,42
256,192,,0.25,0.002,0.0001,32,4096,5,False,t12,0.24856796860694885,176
256,64,,0.15,0.003,0.0,16,16384,6,False,t13,0.24844475090503693,62
128,192,,0.1,0.001,0.001,8,8192,5,False,t14,0.2480214685201645,58
512,256,,0.35,0.002,0.001,32,8192,4,False,t15,0.24806641042232513,100
384,64,128.0,0.35,0.0005,0.0001,8,4096,4,True,t16,0.24783791601657867,86
512,192,64.0,0.15,0.0005,1e-05,32,8192,3,False,t17,0.24799072742462158,65
384,64,128.0,0.35,0.002,1e-05,32,8192,4,False,t18,0.24802125990390778,80
