h1,h2,h3,dropout,lr,wd,emb_dim,batch,epochs,cos,tag,brier,sec
384,192,64,0.35,0.003,0.0001,48,8192,4,True,r2_00,0.24781525135040283,96
384,128,64,0.15,0.0015,0.001,24,8192,5,False,r2_01,0.2481471747159958,92
384,128,64,0.15,0.0005,0.0,16,8192,5,False,r2_02,0.2478272169828415,88
384,128,128,0.15,0.0005,0.0,24,8192,5,False,r2_03,0.2478846162557602,91
384,128,64,0.1,0.0005,0.0,48,8192,5,False,r2_04,0.24812036752700806,88
384,64,128,0.05,0.0005,0.0,16,4096,4,True,r2_05,0.24791187047958374,73
256,128,128,0.35,0.0015,0.0001,32,8192,5,True,r2_06,0.2478145956993103,88
256,256,128,0.05,0.001,0.0,8,16384,3,True,r2_07,0.24777914583683014,44
256,384,128,0.05,0.001,0.001,8,16384,3,False,r2_08,0.24796396493911743,53
384,192,128,0.35,0.003,0.001,24,8192,4,True,r2_09,0.24776700139045715,99
256,256,128,0.15,0.001,0.001,48,16384,3,False,r2_10,0.24785438179969788,55
384,128,128,0.35,0.0005,0.0001,32,16384,5,False,r2_11,0.24785806238651276,94
384,128,128,0.1,0.0005,0.0003,32,16384,5,True,r2_12,0.24799737334251404,75
384,64,192,0.35,0.002,0.0001,8,4096,4,True,r2_13,0.24790199100971222,103
384,384,128,0.15,0.0005,0.0001,24,16384,5,True,r2_14,0.24777482450008392,121
384,256,128,0.35,0.0005,0.0001,8,4096,4,True,r2_15,0.24785876274108887,116
256,128,128,0.35,0.0005,0.0001,32,16384,5,True,r2_16,0.2478548288345337,78
384,192,192,0.35,0.003,0.001,24,8192,4,False,r2_17,0.24794535338878632,103
384,64,128,0.1,0.0005,0.0001,8,4096,4,True,r2_18,0.24780942499637604,77
384,64,192,0.1,0.0005,0.0001,8,4096,4,True,r2_19,0.2478460818529129,81
