fold,seed,brier
2024,42,0.24775119125843048
2024,7,0.2478870302438736
2024,2024,0.24790705740451813
2024,1,0.2481776773929596
2024,13,0.24790579080581665
2024,77,0.2480403482913971
2024,101,0.24791660904884338
2024,777,0.24812056124210358
2024,avg3,0.24771073460578918
2022,42,0.2437179535627365
2022,7,0.24365463852882385
2022,2024,0.2437036633491516
2022,1,0.24383489787578583
2022,13,0.24357520043849945
2022,77,0.2435452938079834
2022,101,0.2436668872833252
2022,777,0.2436971515417099
2022,avg3,0.243424192070961
