context,alpha,gain_2023,gain_2024,mean_gain,brier_2023,brier_2024
same_hand,5000,3.9624418668060546e-05,-8.264882788294736e-05,-2.1512204607443408e-05,0.25325723867262295,0.24795388663615908
count,5000,3.5250420787058534e-05,-7.852059080731832e-05,-2.1635085010129895e-05,0.25326161267050395,0.24794975839908345
same_hand,20000,3.864972676470568e-05,-8.227909194544192e-05,-2.1814682590368117e-05,0.2532582133645263,0.24795351690022158
same_hand,100000,3.565623034545995e-05,-8.202094638101731e-05,-2.318235801777868e-05,0.25326120686094555,0.24795325875465715
count,20000,3.20036348511743e-05,-7.844378025412269e-05,-2.3220072701474193e-05,0.25326485945643984,0.24794968158853026
n_bin,100000,4.2156721719033285e-05,-8.984951051710377e-05,-2.3846394399035242e-05,0.253254706369572,0.24796108731879324
base_state,100000,3.8418904715287194e-05,-9.040993387327001e-05,-2.5995514578991408e-05,0.2532584441865757,0.2479616477421494
base_state,20000,3.538743022529767e-05,-8.859818455853041e-05,-2.6605377166616373e-05,0.2532614756610657,0.24795983599283467
count,100000,3.134278357186382e-05,-8.501927669748999e-05,-2.6838246562813084e-05,0.25326552030771915,0.24795625708497362
base_state,5000,3.124550350408484e-05,-8.963254596014436e-05,-2.9193521228029762e-05,0.25326561758778693,0.24796087035423628
high_li,5000,2.885489299098154e-05,-9.243346834192367e-05,-3.178928767547107e-05,0.25326800819830003,0.24796367127661806
scoring_pos,100000,3.0358021974874472e-05,-9.439887990264628e-05,-3.2020428963885905e-05,0.25326650506931614,0.24796563668817878
close,100000,2.9624770785552368e-05,-9.46264088522164e-05,-3.250081903333202e-05,0.25326723832050546,0.24796586421712835
close,20000,2.925432665412675e-05,-9.462903354220953e-05,-3.268735344404139e-05,0.2532676087646369,0.24796586684181834
close,5000,2.913166377799259e-05,-9.462952800096125e-05,-3.274893211148433e-05,0.253267731427513,0.2479658673362771
high_li,20000,2.59722059822165e-05,-9.179947529150412e-05,-3.291363465464381e-05,0.2532708908853088,0.24796303728356764
scoring_pos,20000,3.0191090212239313e-05,-9.634623808518761e-05,-3.307757393647415e-05,0.2532666720010788,0.24796758404636132
scoring_pos,5000,3.0089018389856115e-05,-9.70839371303156e-05,-3.349745937022974e-05,0.25326677407290116,0.24796832174540645
high_li,100000,2.2628090870446815e-05,-9.063774642306677e-05,-3.4004827776309976e-05,0.25327423500042057,0.2479618755546992
inning_bin,100000,2.0663356475103534e-05,-9.455426791699084e-05,-3.6945455720943654e-05,0.2532761997348159,0.24796579207619313
n_bin,20000,4.892088648272841e-05,-0.00012755633780894837,-3.931772566310998e-05,0.2532479422048083,0.24799879414608508
inning_bin,20000,1.1947602060913276e-05,-9.453498938571947e-05,-4.12936936624031e-05,0.2532849154892301,0.24796577279766185
inning_bin,5000,5.458520236811815e-06,-9.445161323001772e-05,-4.449654649660295e-05,0.2532914045710542,0.24796568942150615
n_bin,5000,6.0368537913968456e-05,-0.00016632865942062258,-5.298006075332706e-05,0.25323649455337705,0.24803756646769676
game_month,100000,-3.764165554492882e-05,-0.00011166847024085547,-7.465506289289214e-05,0.25333450474683594,0.247982906278517
game_type,100000,-8.46058167638386e-05,-0.00013192039281822998,-0.00010826310479103429,0.25338146890805485,0.24800315820109436
game_month,20000,-0.00015343188295141585,-0.00013114156718771475,-0.0001422867250695653,0.25345029497424243,0.24800237937546385
game_month,5000,-0.00023716521548899916,-0.00014012065507529314,-0.00018864293528214615,0.25353402830678,0.24801135846335143
game_type,20000,-0.0002608880081925724,-0.0005410592475719733,-0.00040097362788227287,0.2535577510994836,0.2484122970558481
game_type,5000,-0.0003831959547858643,-0.000836594066569607,-0.0006098950106777357,0.2536800590460769,0.24870783187484574
