trial,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_features,max_bins,brier_2024,auc_2024,seconds
22,0.04338524296264437,200,31,113,0.2106265096461377,0.7350460685614512,128,0.2480200942603392,0.5488460274937882,36.77092409133911
23,0.021284978417214197,200,127,191,41.95760518695597,0.9849789179768444,255,0.24802162096467603,0.5486369533210027,65.04326391220093
11,0.026902980804302062,600,15,84,14.625327121207683,0.6298202574719083,128,0.24802355222449315,0.5485045500899468,105.82847785949707
17,0.016013071467780342,200,127,399,7.536627571597797,0.6557325817623503,128,0.24803057887038504,0.5487125136078412,59.876598834991455
1,0.01846620295777609,400,127,171,0.24299271650031118,0.8603553891795411,128,0.24804887115498173,0.5485072732359723,87.94129824638367
21,0.026415033670881688,400,31,50,0.8944843936739703,0.7219125032632117,255,0.24806764310509052,0.548149853273622,67.77734279632568
18,0.03521307629446295,400,15,116,0.16134907038916235,0.7159005811655073,255,0.24806812013264085,0.5479795041776394,90.04443216323853
20,0.02210959621128062,400,127,982,26.21341116779161,0.7272013899887455,128,0.24806814030587926,0.5483118260677333,2825.630895614624
4,0.027537478171509793,400,127,333,3.9710847107924727,0.6185801650879991,128,0.24807772813740622,0.5482805740623116,127.58665728569031
5,0.06172629146891813,200,63,52,34.91196364203326,0.8253152871382157,255,0.24809127038825127,0.5478219379062639,39.742464542388916
12,0.036179361389729554,200,127,147,0.10914428977738068,0.679536961635522,255,0.24810984504697042,0.5479332346144172,49.568105697631836
10,0.016479178986835333,800,127,787,2.8616260253493273,0.8347004662655393,128,0.24813265456117473,0.5479410697441567,202.4872260093689
6,0.028260829432789215,800,31,623,1.5415527060141936,0.6488152939379115,128,0.24813329567162123,0.5479716958012876,114.00363278388977
9,0.034115165348354536,600,31,731,0.7608932653734255,0.8281775897621597,255,0.2481360860744966,0.5474790359390417,86.26438236236572
16,0.0672787575923789,400,15,687,0.19920076371344456,0.7757346007463081,128,0.24815387680508652,0.5474707324848694,45.68799567222595
8,0.04423433284848038,300,127,98,41.38851334163266,0.9100531293444458,255,0.24822564533832422,0.5464915519309055,67.22523522377014
13,0.0683046598535288,200,63,65,0.9278723835524691,0.6463476238100518,128,0.24823283023425113,0.5462123462910967,36.427106857299805
0,0.03268396148966359,800,63,744,4.128205343826222,0.6624074561769746,128,0.2482447496888735,0.5472328767437399,117.55544686317444
19,0.09359075447830634,300,15,148,0.19263085084710188,0.782613828193164,255,0.24828500106621304,0.5458364160367892,60.091508626937866
7,0.08482839325553193,400,31,211,0.31034856001686184,0.902144564127061,255,0.24840545344120094,0.5451909538748306,48.434627532958984
15,0.06838979361944202,400,63,285,0.21027192106506234,0.885297914889198,128,0.24849347574569486,0.544682383688949,58.79138803482056
14,0.08785218899939638,600,31,71,1.0019068358637693,0.8675365010654429,128,0.24864527118296442,0.5435688080379252,72.3339786529541
2,0.11272159745458465,600,31,109,0.309556646024237,0.6733618039413735,255,0.24906592838289868,0.5411614751315214,62.40371489524841
3,0.053514208181058974,800,127,54,2.6082611167204863,0.7599443886861021,255,0.24909624963163096,0.5403415910985749,141.7493119239807
