fold,seed,brier,sec
2022,42,0.24342446378351365,46.02249360084534
2022,7,0.24341607333703302,44.093910694122314
2022,2024,0.24341945465400505,47.21716928482056
2022,average,0.24340472758441684,0.0
2023,42,0.2532598134129065,59.37946796417236
2023,7,0.2532432854107414,60.69932842254639
2023,2024,0.2532134512094698,61.132657527923584
2023,average,0.2532260055597927,0.0
2024,42,0.2480235522244932,76.03096199035645
2024,7,0.24801639647582024,75.1547155380249
2024,2024,0.2480287327275828,75.90283989906311
2024,average,0.24800728026050908,0.0
