iterations,brier,auc
100,0.24819102526809989,0.5463150471576486
200,0.2482924223832707,0.5456548762697762
300,0.24834826017200834,0.5447090927262442
400,0.24847022658121942,0.5435773976505659
600,0.2487537372428769,0.5415574394685161
800,0.24894303659860387,0.5401979452780987
1000,0.24916633484053136,0.538238085513299
1250,0.2494520495737918,0.5361755375267382
1500,0.2498759772588963,0.5335504209896986
1750,0.2501935584950979,0.5319372012539071
2000,0.25044269108378747,0.5308797486037883
