variant,fold,iterations,brier,auc
cat_domain,2022,25,0.24395954026722275,0.5773571161246261
cat_domain,2022,50,0.24358574544599904,0.5775796565621959
cat_domain,2022,75,0.24350238012988576,0.5777116903770666
cat_domain,2022,100,0.24348982508766162,0.5774525454587577
cat_domain,2022,125,0.24348553831154535,0.5772043504646419
cat_domain,2022,150,0.2434939527320232,0.5769021857635452
cat_domain,2022,200,0.2435382864317482,0.5761403598719741
cat_domain,2022,250,0.24358897547461017,0.5755185045226708
cat_domain,2022,300,0.24365820289452095,0.5748185436810831
cat_domain,2022,400,0.243756526231527,0.5738330487342926
cat_time,2022,25,0.24399644075547386,0.576782190678926
cat_time,2022,50,0.24352213026062225,0.5782340308055213
cat_time,2022,75,0.24344741057731942,0.5782061757001392
cat_time,2022,100,0.2434283217713627,0.5778341243885674
cat_time,2022,125,0.24344558859811982,0.5773581560099392
cat_time,2022,150,0.24345488019823397,0.5773233740153709
cat_time,2022,200,0.2435991421241693,0.5753094243676727
cat_time,2022,250,0.2437032950836869,0.5743799199511214
cat_time,2022,300,0.2437584151659348,0.5738245736165634
cat_time,2022,400,0.24394924961051861,0.5722462108444433
cat_domain,2023,25,0.25237408486662544,0.5234058613784561
cat_domain,2023,50,0.252887329192678,0.5255204124462975
cat_domain,2023,75,0.2530750557162202,0.5256693300633449
cat_domain,2023,100,0.25311210318590377,0.5257619704094976
cat_domain,2023,125,0.25316392768785834,0.5252075000733931
cat_domain,2023,150,0.2532652483078506,0.5250175812210383
cat_domain,2023,200,0.2534011841712591,0.5253096529274947
cat_domain,2023,250,0.2534650848012468,0.524825773662136
cat_domain,2023,300,0.2535297812178398,0.5242859583524642
cat_domain,2023,400,0.2537456343290514,0.5233550722320054
cat_time,2023,25,0.2523760475262155,0.5230980179703814
cat_time,2023,50,0.2529292333262819,0.5259128769611431
cat_time,2023,75,0.25297738691375615,0.5258354801701866
cat_time,2023,100,0.25305387036163535,0.5257142821285036
cat_time,2023,125,0.2532029758814613,0.5251437457766335
cat_time,2023,150,0.253207242202417,0.5251706399054883
cat_time,2023,200,0.2532270797267002,0.5251586339054446
cat_time,2023,250,0.2533161418882467,0.5248838967415741
cat_time,2023,300,0.253383344992506,0.5245743628270102
cat_time,2023,400,0.2535426525129538,0.5242443175288203
cat_domain,2024,25,0.24846365248798666,0.5448666362307673
cat_domain,2024,50,0.24830569771355962,0.5451723346072005
cat_domain,2024,75,0.2482288910415006,0.5457293746121985
cat_domain,2024,100,0.24819102526809989,0.5463150471576486
cat_domain,2024,125,0.24822137175435155,0.5462099650527407
cat_domain,2024,150,0.2482289698158368,0.546228813016674
cat_domain,2024,200,0.2482924223832707,0.5456548762697762
cat_domain,2024,250,0.24831365098471972,0.5452381792721182
cat_domain,2024,300,0.24834826017200834,0.5447090927262442
cat_domain,2024,400,0.24847022658121942,0.5435773976505659
cat_time,2024,25,0.24836844285609802,0.5460466274309845
cat_time,2024,50,0.24810193840171363,0.5471948990176776
cat_time,2024,75,0.2480426996662893,0.5476369441180865
cat_time,2024,100,0.24804144449574167,0.5474519934031745
cat_time,2024,125,0.24806656076305444,0.547169758495052
cat_time,2024,150,0.248137659101242,0.5463723116779465
cat_time,2024,200,0.24816426793051113,0.5461503636131443
cat_time,2024,250,0.2482070138160362,0.5460061104066809
cat_time,2024,300,0.24827546556402155,0.5454000819592736
cat_time,2024,400,0.2483459525803702,0.5446859706361412
