feature,cover,corr,corr_R,corr_low,mono
A0 파생 1-s-r-m (대조군),0.9996804821957579,0.0035619594136267925,0.006840575130516753,0.003970800872567597,-
A1 투수 3번째실패율 (과거시즌 직접),0.8013940443459155,0.005372597842362019,0.006386940554317187,0.005517784489866876,-
A1b  동 - 파생값 차이,0.8013940443459155,0.002972942181021467,0.002146266785319512,0.0050338298619422754,-
B 카운트: 매칭 성공확률,0.8013940443459155,-0.004680250485144527,-0.0028354358824139413,-0.014910632136196008,Y
B 카운트: 매칭 증분(상호작용만),0.8013940443459155,-0.004810648600544252,-0.00316073884316971,-0.014481800350107462,Y
B 카운트x주자수: 매칭 성공확률,0.8013940443459155,-0.004662914775664373,-0.0026509693903057747,-0.015432230838433904,Y
B 카운트x주자수: 매칭 증분(상호작용만),0.8013940443459155,-0.004783670995068099,-0.0031416084765036826,-0.014562806050195906,Y
B 카운트x동손: 매칭 성공확률,0.8013940443459155,-0.0027834008734823027,-0.0011253369715694237,-0.012560109961399642,Y
B 카운트x동손: 매칭 증분,0.8013940443459155,-0.004699448387637904,-0.0030812396124610324,-0.014457656721020838,Y
B  카운트 노출x성향 [rev],0.9996804821957579,-0.006653785237090497,-0.005728257543525083,-0.00907400253923642,Y
B  카운트 노출x성향 [mid],0.9996804821957579,-0.011087528668752504,-0.014727894070770364,-0.013979768569834789,Y
B  카운트 노출x성향 [thr],0.8013940443459155,0.010216924206932817,0.00998122790098379,0.006781614931292391,Y
C 한가운데 prev1-career,0.9856493114588551,-0.0033835374295101937,-0.00456975810860391,-0.0010898782344583482,-
C 한가운데 prev3-career,0.9856493114588551,-0.005660427901533434,-0.006367712975402729,-0.0058907432968252835,-
C 한가운데 prev5-career,0.9856493114588551,-0.006722450559914038,-0.007834447737850752,-0.009861997409393374,-
C 비가운데 실패 폼 prev3,0.9856493114588551,0.0026461611964328845,0.003804379408765075,0.0004348021995838653,-
D 타자 rev 유발률,0.9069532596733029,0.0013664764421714712,-0.000531742073077739,-0.0012488550540783662,Y
D 타자 mid 유발률,0.9069532596733029,-0.002926081778670506,-0.005573178927768791,0.00046148860833313807,-
D 타자 thr 유발률,0.9069532596733029,-0.00017229032516107885,-0.0004732017021028434,0.0021640494387439677,-
D 타자 suc 유발률,0.9069532596733029,0.00023432339544139506,0.003497655207065014,-0.00016093178913743902,-
