fold,cfg,brier,auc
2022,기준,0.24352431071531802,0.5764803215338391
2022,D1 팀범주형,0.24346304442962127,0.5775300120651133
2022,D2 park만,0.24361605567309264,0.5759164115458155
2022,D1+D2,0.24356317660933902,0.5769534831789105
2023,기준,0.2534316109162257,0.5271842713456031
2023,D1 팀범주형,0.25365921751400655,0.5251880192703509
2023,D2 park만,0.25372788472588154,0.5258698995312479
2023,D1+D2,0.2538669695112288,0.5244019880306944
2024,기준,0.24805922339357517,0.5481536876974347
2024,D1 팀범주형,0.24811321029301422,0.5476024880908501
2024,D2 park만,0.2481792519917229,0.5467323911574857
2024,D1+D2,0.24819147337161682,0.5468333639856767
