fold,seed,brier
2022,1,0.24391834437847137
2022,13,0.24393214285373688
2022,77,0.24395881593227386
2022,101,0.24409373104572296
2022,777,0.24403084814548492
2022,avg5,0.24338315427303314
2023,1,0.25517094135284424
2023,13,0.25218138098716736
2023,77,0.25378191471099854
2023,101,0.25518277287483215
2023,777,0.2541051208972931
2023,avg5,0.25348514318466187
2024,1,0.24888275563716888
2024,13,0.24838776886463165
2024,77,0.24846108257770538
2024,101,0.24861253798007965
2024,777,0.24859686195850372
2024,avg5,0.2480357438325882
