fold,variant,n_feat,brier,auc,sec
2022,base,91,0.24353685147703466,0.5764495252857258,51.6
2022,V1,97,0.24349272882571835,0.5772104078883382,60.6
2022,V2,97,0.24350643130346325,0.5769679813807908,54.3
2022,V3,97,0.24347430128105685,0.5771689298790454,27.3
2023,base,91,0.2534610721574689,0.5259147714736847,48.2
2023,V1,97,0.25347853376396695,0.5272544659830553,38.5
2023,V2,97,0.2535546229695646,0.526871198229598,34.5
2023,V3,97,0.2535242995597423,0.526893342723312,37.0
2024,base,91,0.24813885094160928,0.547212382776862,40.8
2024,V1,97,0.24804978526892565,0.548370923895833,44.8
2024,V2,97,0.24807560379421623,0.5484110093465737,45.0
2024,V3,97,0.2480809956294527,0.5482538171243062,43.4
