fold,seed,brier,auc
2022,42,0.24434106051921844,0.5706615635751076
2022,7,0.24415323138237,0.5728820753192408
2022,2024,0.24384108185768127,0.574730380601281
2022,avg,0.24360792338848114,0.5760778933229138
2023,42,0.2539726793766022,0.5238268964283738
2023,7,0.25334295630455017,0.5227638792471192
2023,2024,0.2537422478199005,0.5240714660106035
2023,avg,0.25320613384246826,0.5262013355143792
2024,42,0.24853621423244476,0.5457229222183668
2024,7,0.24860455095767975,0.5455782368465891
2024,2024,0.2482808381319046,0.5458217675760728
2024,avg,0.2479996383190155,0.5497841314758818
