batter_id,batter_trackman_id,votes,total_votes,purity
20889,71184,448,448,1.0
20946,70410,373,373,1.0
20984,70756,39,39,1.0
21131,71432,153,153,1.0
21143,71752,1824,1824,1.0
21170,71837,2918,2918,1.0
21174,71842,311,311,1.0
21241,72133,1114,1114,1.0
21278,64793,384,384,1.0
21286,72443,3684,3684,1.0
21288,72456,63,63,1.0
21381,72546,134,134,1.0
21398,73113,3867,3867,1.0
21400,73136,2123,2123,1.0
21401,73153,38,38,1.0
21448,73209,854,854,1.0
21458,73342,169,169,1.0
21461,73306,854,854,1.0
21511,73213,327,327,1.0
21520,74163,3615,3615,1.0
21577,74846,37,37,1.0
21600,74729,992,992,1.0
21616,74206,3859,3859,1.0
21617,74215,565,565,1.0
21627,74540,4481,4481,1.0
21660,75334,5241,5241,1.0
21693,75808,1032,1032,1.0
21696,75847,5931,5931,1.0
21708,75151,1885,1885,1.0
21737,75566,4772,4772,1.0
21786,76158,59,59,1.0
21818,76232,5482,5482,1.0
21821,76267,4842,4842,1.0
21822,76249,1761,1761,1.0
21831,76812,2711,2711,1.0
21834,76802,3524,3524,1.0
21835,76869,136,136,1.0
21837,76849,3540,3542,0.9994353472614342
21848,76720,167,167,1.0
21851,76753,1654,1654,1.0
21865,76509,436,436,1.0
21892,76100,592,592,1.0
21945,77243,883,883,1.0
21947,77248,1009,1009,1.0
21968,77564,3984,3984,1.0
21980,77463,762,762,1.0
21990,78548,4844,4844,1.0
21992,78513,5759,5759,1.0
21996,78135,3835,3835,1.0
21999,78122,1900,1900,1.0
22002,60100,204,204,1.0
22006,78813,1114,1114,1.0
22013,78224,6094,6094,1.0
22016,78217,731,731,1.0
22021,78629,1222,1222,1.0
22025,78643,566,566,1.0
22026,78603,3083,3083,1.0
22038,78756,2751,2751,1.0
22064,78566,48,48,1.0
22066,77532,6732,6732,1.0
22101,79198,125,125,1.0
22102,79192,6003,6003,1.0
22103,79109,6651,6651,1.0
22104,79113,125,125,1.0
22106,79150,2813,2813,1.0
22109,79608,4615,4615,1.0
22126,79240,5200,5200,1.0
22127,79215,5762,5762,1.0
22130,79231,5736,5736,1.0
22132,79234,38,38,1.0
22133,79402,5347,5347,1.0
22137,79465,166,166,1.0
22144,79334,1181,1181,1.0
22146,79365,4501,4501,1.0
22148,79300,95,95,1.0
22160,79705,507,507,1.0
22182,79456,3093,3093,1.0
22208,60343,593,593,1.0
22221,60648,31,31,1.0
22225,60605,56,56,1.0
22238,60805,27,27,1.0
22245,60558,2798,2798,1.0
22258,60184,51,51,1.0
22269,60523,4257,4257,1.0
