fold,seed,brier,auc
2022,42,0.2441791445016861,0.5732973507142346
2022,7,0.24415498971939087,0.573028551927432
2022,2024,0.24383534491062164,0.5742212129927735
2022,avg,0.24365009367465973,0.5758691747161433
2023,42,0.2539859712123871,0.5252266325831292
2023,7,0.25556454062461853,0.5235171127896989
2023,2024,0.2545951008796692,0.5257971425260194
2023,avg,0.2542891800403595,0.5270093776435256
2024,42,0.24841585755348206,0.5453346679024297
2024,7,0.24822556972503662,0.5468134849106843
2024,2024,0.24817344546318054,0.546779216344029
2024,avg,0.24796633422374725,0.5501408625151454
