fold,seed,brier,auc
2022,42,0.24439267814159393,0.5706695323156115
2022,7,0.2443751096725464,0.5712367494181035
2022,2024,0.24390067160129547,0.5743151181491503
2022,avg,0.2436833530664444,0.576122537287552
2023,42,0.2536395490169525,0.5255340432289745
2023,7,0.25375500321388245,0.5231567675331974
2023,2024,0.25385862588882446,0.5231756787847834
2023,avg,0.2531980276107788,0.5269014665037692
2024,42,0.24850448966026306,0.5453613972461379
2024,7,0.24851234257221222,0.5475039877864386
2024,2024,0.24845778942108154,0.5439533284966248
2024,avg,0.2480204999446869,0.5505466289008947
