fold,variant,n_feat,n_cst,brier,auc,sec
2022,base,91,0,0.24862827531944104,0.5422651095929005,68
2022,dedup,87,0,0.24864149853459339,0.5421186567414932,44
2022,monoA,91,12,0.24861838632838726,0.5422432584500696,50
2022,dedup_monoB,87,16,0.24864643804468045,0.542013435012611,68
2023,base,91,0,0.24870929835658587,0.5401334988309703,87
2023,dedup,87,0,0.24870417321472565,0.54018430682202,101
2023,monoA,91,12,0.24872050074041652,0.5399393113120455,99
2023,dedup_monoB,87,16,0.24879666452446475,0.538913497250487,106
2024,base,91,0,0.24803733851791324,0.5482205923757908,166
2024,dedup,87,0,0.2480548102298653,0.5478821991485544,135
2024,monoA,91,12,0.24794944995659196,0.5490208047892908,109
2024,dedup_monoB,87,16,0.24797569111974324,0.5487276493601765,100
