fold,seed,brier,auc
2022,42,0.24403901398181915,0.5732527160225843
2022,7,0.24391737580299377,0.5738281299548689
2022,2024,0.24404403567314148,0.5728246047152812
2022,avg,0.24358102679252625,0.5762624966235945
2023,42,0.25342801213264465,0.5255776675129933
2023,7,0.2539149224758148,0.5228610983662937
2023,2024,0.25413402915000916,0.5225655768707089
2023,avg,0.25343501567840576,0.5260325399642767
2024,42,0.24861270189285278,0.5439085839699246
2024,7,0.24847376346588135,0.5480611614649397
2024,2024,0.24824821949005127,0.5464182559959699
2024,avg,0.248044952750206,0.5505525405586219
